Code,Maternal_Ed,FRPL,Origin,Concern,PQ_LANG_MOM_CH,PQ_LANG_DAD_CH,GENDER,BESA_S_CZr,BESA_S_SRr,BESA_S_s,BESA_E_CZr,BESA_E_SRr,BESA_E_s,PGU_Spanish,PGU_English,Words_Spanish,Words_English,AoA_ENG
10106,6,0,3,0,5,5,2,11,32,105,20,33,110,82.69,100,143,88,1
10205,5,0,3,0,4,4,1,13,22,105,23,13,113,61.9,92.59,72,125,2
10304,6,0,1,0,4,4,2,6,8,83,12,11,83,41.18,NA,97,55,1
10404,5,0,1,0,5,5,1,5,27,95,15,26,100,90.91,29.17,83,110,3
10504,3,2,1,2,2,4,1,4,19,90,19,30,108,41.38,77.14,107,130,2
10604,5,0,3,1,5,5,2,5,4,78,8,11,80,80,60,89,117,2
10705,6,0,3,0,4,4,1,14,35,118,20,33,113,91.3,94.12,99,82,3
10804,6,0,3,0,4,4,1,9,17,100,18,31,108,90.91,71.43,119,90,1
10905,6,0,3,1,4,4,1,6,29,95,17,31,105,87.5,92.31,120,95,1
11005,6,0,3,0,1,5,2,5,9,75,16,28,103,55.56,85,146,148,0
11104,6,0,3,0,5,5,1,0,0,0,0,0,0,NA,NA,NA,NA,0
11206,6,0,3,0,4,4,1,14,36,110,24,33,115,82.86,80.77,135,114,1
11304,6,0,3,0,3,4,2,2,1,70,NA,NA,NA,NA,NA,NA,NA,3
11406,6,0,3,0,4,4,2,10,27,98,15,31,103,60.61,93.33,144,153,2
11504,2,1,1,2,4,3,2,5,1,75,15,21,98,33.33,42.11,110,105,0
11604,5,0,1,0,5,3,2,6,12,88,1,7,68,68.97,100,125,77,3
11704,2,1,1,0,4,4,2,2,6,75,5,7,73,60,45.83,143,148,3
11804,2,1,1,0,3,5,2,0,0,52,0,3,58,0,42.86,92,104,2
11904,3,1,1,0,2,2,2,0,0,0,0,0,0,NA,NA,NA,NA,1
12004,2,1,1,0,4,4,2,2,4,68,10,10,78,50,6.67,104,105,4
12104,4,1,3,2,3,3,2,0,0,52,1,3,62,100,80,89,27,3
12205,0,1,0,0,5,3,1,13,29,110,1,6,62,94.44,100,69,28,0
12304,2,1,1,1,5,3,1,0,0,52,0,0,52,36.84,100,76,22,4
12404,1,1,1,1,4,4,2,0,14,70,2,9,68,33.33,0,124,103,3
12505,2,1,1,1,3,4,2,4,0,62,0,0,52,77.78,NA,60,0,4
12605,2,1,1,2,5,5,1,3,13,78,0,0,52,38.1,NA,77,8,0
12704,2,0,1,0,5,5,2,2,3,73,4,7,70,15.15,66.67,168,59,2
12805,2,1,3,0,5,5,2,4,7,75,0,2,52,32.14,0,136,149,3
12905,1,1,3,1,5,1,1,9,14,90,1,4,62,66.67,NA,88,60,2
13004,5,1,1,0,4,5,2,4,15,83,1,8,73,30.77,100,103,47,3
13104,2,1,1,1,4,5,2,1,6,70,0,1,52,18.18,NA,108,92,0
13205,2,1,0,0,5,5,1,3,6,70,0,3,52,55.56,37.5,115,116,1
13305,4,1,1,0,4,3,2,0,3,60,1,2,60,27.91,10.81,139,157,0
