Version,Code,Time,S1C,S1E,S1UT,S1NR,S1NV,S1G,S1IF,S1UN,S1INC,S1M,S1T,S1P,...17,...18,...19,...20,...21,...22,S2C,S2E,S2UT,S2NR,S2NV,S2G,S2IF,S12UN,S2INC,S2M,S2T,S2P,...36,...37,...38,...39,...40,...41,S3C,S3E,S3UT,S3NR,S3NV,S3G,S3IF,S3UN,S3INC,S3M,S3T,S3P,...55,...56,...57,...58,...59,...60,S4C,S4E,S4UT,S4NR,S4NV,S4G,S4IF,S4UN,S4INC,S4M,S4T,S4P,...74,...75,...76,...77,...78,...79,S5C,S5E,S5UT,S5NR,S5NV,S5G,S5IF,S5UN,S5INC,S5M,S5T,S5P,...93,...94,...95,...96,...97,...98,...99,...100,...101,...102,...103,...104,...105,...106,...107,...108,...109,...110,...111,...112,...113,...114,...115,...116,...117,...118,...119
B,04023,(00:35),0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,2,0,0,0,0,1,0,0,0,1,#NAME?,0,0,0,#NULL!,1,100,100
B,04027,(00: 55),0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,4,1,0,4,0,0,0,5,0,0,0,#NULL!,1,100,100
B,04024,(00:26),1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,5,1,0,0,#NULL!,0,1,0
B,04022,(15:30),0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,2,1,2,0,0,1,5,0,0,0,#NULL!,0,0,0
B,05063,(09:26),1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,0,0,0,1,0,0,1,0,0,0,5,1,0,0,#NULL!,1,100,100
A,04011,(12:01),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,0 (indicative),1,1,NA,NA,NA,NA,1,2,2,0,0,0,0,0,0,2,1,0,0,0,2,6,2,0,0,#NULL!,0,2,0
B,04059,(00:28),0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,2,0,0,0,0,0,1,0,0,0,1,5,0,0,0,#NULL!,1,100,100
B,05046,(09:40),1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,3,0,0,0,0,0,1,0,0,1,0,0,0,4,2,1,0,#NULL!,0,2,1
A,04018,(12:11),0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,0,1,0,2,1,0,0,2,5,0,0,0,#NULL!,1,100,100
B,05055,(00:33),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,1,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0 (indicative),1,1,NA,NA,NA,NA,1,1,1,0,0,1,0,0,0,0,3,0,0,2,1,5,1,0,0,#NULL!,0,1,0
