Variable,Estimado,Error_est,p,Referencia,Juego
(Intercept),1.643,0.241,0,ML-DT,Combinado
GroupML-DLD,-2.006,0.245,0,ML-DT,Combinado
GroupBL-TD,-1.163,0.23,0,ML-DT,Combinado
GroupBL-DLD,-3.321,0.255,0,ML-DT,Combinado
CA_Months_Ctd,0.045,0.009,0,ML-DT,Combinado
(Intercept),-0.363,0.23,0.115,ML-TDL,Combinado
GroupML-TD,2.006,0.245,0,ML-TDL,Combinado
GroupBL-TD,0.843,0.221,0,ML-TDL,Combinado
GroupBL-DLD,-1.315,0.238,0,ML-TDL,Combinado
CA_Months_Ctd,0.045,0.009,0,ML-TDL,Combinado
(Intercept),0.48,0.216,0.026,BL-TD,Combinado
GroupML-TD,1.163,0.23,0,BL-TD,Combinado
GroupML-DLD,-0.843,0.221,0,BL-TD,Combinado
GroupBL-DLD,-2.158,0.225,0,BL-TD,Combinado
CA_Months_Ctd,0.045,0.009,0,BL-TD,Combinado
(Intercept),-1.678,0.231,0,BL-TDL,Combinado
GroupML-TD,3.321,0.255,0,BL-TDL,Combinado
GroupML-DLD,1.315,0.238,0,BL-TDL,Combinado
GroupBL-TD,2.158,0.225,0,BL-TDL,Combinado
CA_Months_Ctd,0.045,0.009,0,BL-TDL,Combinado
(Intercept),3.639,0.548,0,ML-DT,Articulos
GroupML-DLD,-2.681,0.544,0,ML-DT,Articulos
GroupBL-TD,-2.505,0.527,0,ML-DT,Articulos
GroupBL-DLD,-4.598,0.566,0,ML-DT,Articulos
CA_Months_Ctd,0.07,0.016,0,ML-DT,Articulos
(Intercept),0.958,0.39,0.014,ML-TDL,Articulos
GroupML-TD,2.681,0.544,0,ML-TDL,Articulos
GroupBL-TD,0.175,0.377,0.642,ML-TDL,Articulos
GroupBL-DLD,-1.917,0.404,0,ML-TDL,Articulos
CA_Months_Ctd,0.07,0.016,0,ML-TDL,Articulos
(Intercept),1.133,0.37,0.002,BL-DT,Articulos
GroupML-TD,2.506,0.527,0,BL-DT,Articulos
