Group,Non_Target,Total,Percentage
ML-TD,3PS,2,15.384615384615385
ML-TD,3PP,8,61.53846153846154
ML-TD,Gerund,3,23.076923076923077
ML-DLD,3PS,20,58.82352941176471
ML-DLD,3PP,11,32.35294117647059
ML-DLD,Infinitive,1,2.941176470588235
ML-DLD,Gerund,2,5.88235294117647
BL-TD,1PS,2,3.9215686274509802
BL-TD,3PS,27,52.94117647058824
BL-TD,3PP,14,27.450980392156865
BL-TD,Infinitive,2,3.9215686274509802
BL-TD,Gerund,6,11.76470588235294
BL-DLD,1PS,4,4.705882352941177
BL-DLD,3PS,48,56.470588235294116
BL-DLD,3PP,11,12.941176470588237
BL-DLD,Infinitive,8,9.411764705882353
BL-DLD,Gerund,14,16.470588235294116
NA,Grand Total,183,100
